,popgrowthregimp
E1,0.015368374668171127
E1ent,0.000345072405985843
E2,0.010205853606457883
E2ent,0.0032462092807879436
E3,0.003685033898191012
E3ent,0.0004053961177738084
E4,0.0031956876018779706
E4ent,0.0007666631814676511
E5,0.0026396792123314482
E5ent,0.0008478314678423278
E6,0.004649992382900164
E6ent,0.000968773542695972
E7,0.011806288752929404
E7ent,0.0062206983889894355
S1,0.0005683500456768277
S1ent,0.08502393130453305
S2,0.007847963606170247
S2ent,0.027608305225577688
S3,0.007551151544995017
S3ent,0.0023391025776879956
S4,0.041745089189111385
S4ent,0.0004962734055549393
S5,0.008722121966666531
S5ent,0.0009133383825934343
S6,0.009723441429231714
S6ent,0.0005557918463286862
S7,0.01991517556735609
S7ent,0.0008878794036267421
S8,0.004558693725730798
S8ent,0.0007251458295419996
S9,0.025499584962351177
S9ent,0.001018288447879629
SE,0.008053266774271433
SEent,0.0002966399991391126
cump0,0.0524950476170572
cump1,0.033504121172842544
cump2,0.029675671242141908
cump3,0.02629097618293064
cumpm1,0.0035114257544049928
cumpm2,0.003413810827200564
cumpm3,0.002939667159030388
im10,0.0411863965605532
lptot10,0.061486567366645706
lptot10ent,0.001832618659898733
nacent10,0.012399507228588189
ptot10cum,0.05485014044668147
viveu10,0.05991172513252852
x,0.0031405720873735614
x0,0.003746778377047819
x1,0.0035727727891348587
x2,0.004039040422161992
x3,0.0027687620057318383
xm1,0.0028641949824468353
xm2,0.0013475384047672537
xm3,0.00039160482576250036
xpop,0.004723373263181554
xpop0,0.0036871182427802413
xpop1,0.0032695983635310346
xpop2,0.0035556224612012404
xpop3,0.0032333804695003376
xpopm1,0.0036687407493642865
xpopm2,0.0036084025464545233
xpopm3,0.003544954163109703
y,0.0016555041028697365
y0,0.0011764294639221733
y1,0.001178289996818398
y2,0.0024915962899952925
y3,0.002232672398990847
ym1,0.001471362014751961
ym2,0.001799673073096133
ym3,0.0016837089287164782
ypop,0.039652178616951035
ypop0,0.0380358959275907
ypop1,0.041383665070580104
ypop2,0.02980460625193019
ypop3,0.0333912549189357
ypopm1,0.028905009362037187
ypopm2,0.002933750602901836
ypopm3,0.0032151233093015283
z,0.0024251381586448645
z0,0.0017623567217712125
z1,0.0020002597283185113
z2,0.003112758252866819
z3,0.002210734419425334
zm1,0.00204801500767219
zm2,0.00128207105739213
zm3,0.001086727078039617
